名稱,股票代號,交易所
A&D,,
ABB,ABB,NYSE
ABB Group,,
AGY Holding Corp,,
ANSYS,ANSS,NASDAQ
AT&T,T,NYSE
AWS,,
Adidas,ADDYY,OTC
Advantest,6857.T,TSE
Affymetrix,,
Airbnb,ABNB,NASDAQ
Akamai Technologies,,
Angelicoussis Shipping Group,,
Ant Group,,
Anthropic,,Private
Arrow Electronics,,
Asklepios,,
Atmel,,
BAE System,,
Basic-fit,,
Benchmark,,
Bucher Industries AG,,
Bunge,,
CHS,,
CITIZEN,,
CVS Health Corporation,,
Canon,7751.T,TSE
Classpass,,
Cloudflare,,
Coinbase,COIN,NASDAQ
Coinbase Ventures,,
Comcast,,
ComplyAdvantage,,
Control4,,
Creative Artists Agency,,
CrowdStrike,CRWD,NASDAQ
Cube,,
DePuy Synthes,,
Deloitte,,
Deloitte Consulting LLP,,
Dematic,,
Depuy,,
Dropbox,DBX,NASDAQ
EMC,,
ENEOS控股株式會社,,
EVGA,,
Eaton Corporation Plc,ETN,NYSE
Entrust,,
Ericsson,ERIC,NASDAQ
Eventbrite,,
Excelitas  Technologies,,
Excelitas Technologies,,
Excelsports Management,,
Extreme Networks,,
Fidor Bank,,
First Data,,
Fiserv,,
FootLocker,,
Fortinet,FTNT,NASDAQ
GE Healthcare,,
GEA Group,,
Golden Ocean Group,,
Golden Union,,
Google,GOOGL,NASDAQ
HCA,,
HITACHI-LG DATA STORAGE,,
HPE,HPE,NYSE
Hexagon AB,,
Hitachi Vantara,,
Honeywell,HON,NASDAQ
IBIDEN,,
IHH Healthcare Bhd,,
Imagination,,Private
Imperva,,
Ingram Micro Holding Corporation,,
Integer Holdings  Corporation,,
Integer Holdings Corporation,,
Intersport,,
JBS,,
JSR株式會社,,
JX日鑛日石金屬株式會社(JX控股),,
JX金屬,,
KPMG,,
Kaneka,,
Karex Bhd,,
Kobo,,
Kontron,,
Kraft Heinz Company,,
L&F,,
LB Lusem,,
LG,066570.KS,KRX
